Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,Petal Width (cm),Species,MeasurementDate
74,6.1,2.8,4.7,1.2,iris-versicolor ,05-06-2024
19,5.7,3.8,1.7,0.3,Iris-setosa,2024-05-20
119,7.7,2.6,6.9,2.3,Iris-virginica,27/08/2024
79,6.0,2.9,4.5,1.5,Iris-versicolor,2024-06-10
77,6.8,2.8,4.8,1.4,Iris-versicolor,2024-06-08
32,5.4,3.4,1.5,0.4,Iris-setosa,2024-06-02
65,5.6,2.9,3.6,1.3,Iris-versicolor,2024-05-27
141,6.7,3.1,5.6,2.4,Iris-virginica,18/09/2024
69,6.2,2.2,4.5,1.5,versicolor,2024/05/31
83,5.8,2.7,3.9,1.2,Iris-versicolor,2024-06-14
60,5.2,2.7,3.9,1.4,Iris-versicolor,2024-05-22
125,6.7,3.3,5.7,2.1,Iris-virginica,02/09/2024
24,5.1,3.3,1.7,-0.2,setosa,03/09/2024
105,6.5,3.0,5.8,2.2,Iris-virginica,13/08/2024
38,4.9,3.1,1.5,0.1,Iris-setosa,2024-06-08
134,6.3,2.8,5.1,1.5,Iris-virginica,11/09/2024
72,6.1,2.8,4.0,1.3,Iris-versicolor,2024-06-03
98,6.2,2.9,4.3,1.3,Iris-versicolor,2024-06-29
100,5.7,2.8,4.1,1.3,Iris-versicolor,2024-07-01
15,5.8,4.0,1.2,0.2,Iris-setosa,16/05/2024
143,5.8,2.7,5.1,1.9,iris virginica,2024/09/20
68,5.8,2.7,4.1,1.0,Iris-versicolor,2024/05/30
78,6.7,3.0,5.0,1.7,Iris-versicolor,2024-06-09
145,6.7,3.3,5.7,2.5,Iris-virginica,22/09/2024
16,5.7,4.4,1.5,0.4,Iris-setosa,2024/05/17
131,7.4,2.8,6.1,1.9,Iris-virginica,08/09/2024
56,5.7,,4.5,1.3,iris-versicolor ,2024/05/18
114,5.7,2.5,5.0,2.0,Iris-virginica,22/08/2024
117,6.5,3.0,5.5,1.8,Iris-virginica,25/08/2024
67,5.6,3.0,4.5,1.5,Iris-versicolor,2024-05-29
42,4.5,2.3,1.3,0.3,Iris-setosa,2024/06/12
146,6.7,3.0,5.2,2.3,Iris-virginica,2024-09-23
111,6.5,3.2,5.1 cm,2.0,Iris-virginica,19/08/2024
30,4.7,3.2,1.6,0.2,Iris-setosa,2024-05-31
84,6.0,2.7,,1.6,Iris-versicolor,2024-06-15
46,4.8,3.0,1.4,0.3,Iris-setosa,2024-06-16
127,6.2,2.8,4.8,1.8,Iris-virginica,2024-09-04
102,5.8,2.7,5.1,1.9,Iris-virginica,2024-08-10
34,5.5,4.2,1.4,0.2,Iris-setosa,2024/06/04
11,5.4,3.7,1.5,0.2,Iris-setosa,2024/05/12
62,5.9,3.0,4.2,1.5,Iris-versicolor,2024-05-24
148,6.5,3.0,5.2,2.0,Iris-virginica,2024-09-25
110,7.2,3.6,6.1,2.5,Iris-virginica,2024-08-18
2,4.9,3.0,1.4,0.2,Iris-setosa,03/05/2024
126,7.2,3.2,6.0,1.8,Iris-virginica,03/09/2024
29,5.2,3.4,1.4,0.2,Iris-setosa,2024-05-30
147,6.3,2.5,5.0,1.9,Iris-virginica,24/09/2024
118,7.7,3.8,6.7,2.2,Iris-virginica,26/08/2024
12,4.8,3.4,1.6,0.2,Iris-setosa,2024-05-13
33,5.2,4.1,1.5,0.1,Iris-setosa,2024-06-03
91,5.5,2.6,4.4,1.2,Iris-versicolor,2024/06/22
66,6.7,3.1,4.4,1.4,Iris-versicolor,2024-05-28
109,6.7,2.5,5.8,1.8,Iris-virginica,17/08/2024
36,5.0,3.2,1.2,0.2,Iris-setosa,2024-06-06
144,6.8,3.2,5.9,2.3,Iris-virginica,21/09/2024
61,5.0,2.0,3.5,1.0,Iris-versicolor,2024/05/23
